Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
2,3.624e-08,3.244e-08,3.854e-08,6.3381e-07,6.907e-08,4.331e-08,1.6653e-07
3,7.73e-08,6.936e-08,8.945e-08,7.6725e-07,1.1836e-07,7.276e-08,2.0171e-07
4,4.9069e-07,1.0945e-07,1.5699e-07,1.17378e-06,1.9588e-07,1.1823e-07,2.6705e-07
5,2.3994e-07,1.5759e-07,2.6324e-07,1.52841e-06,2.1411e-07,1.1756e-07,2.7699e-07
6,2.8815e-07,1.6701e-07,2.8105e-07,1.548e-06,2.8304e-07,1.7985e-07,3.709e-07
7,5.5072e-07,2.181e-07,3.4069e-07,1.91202e-06,3.2604e-07,1.9223e-07,3.9522e-07
8,4.0057e-07,2.7169e-07,4.6157e-07,2.30491e-06,4.1207e-07,2.3362e-07,4.8985e-07
9,5.6303e-07,2.861e-07,5.8279e-07,2.42523e-06,4.926e-07,2.7999e-07,5.6181e-07
10,6.8966e-07,3.2059e-07,6.9797e-07,2.96038e-06,5.591e-07,3.338e-07,6.3858e-07
11,9.1468e-07,3.603e-07,7.2583e-07,3.01464e-06,6.1107e-07,3.6219e-07,7.8851e-07
12,1.4655e-06,6.454e-07,1.26339e-06,5.0415e-06,1.05226e-06,6.3814e-07,1.3185e-06
13,1.24757e-06,5.1652e-07,1.04291e-06,3.92496e-06,8.2647e-07,5.1046e-07,8.9598e-07
14,1.39444e-06,5.8666e-07,1.18102e-06,4.28007e-06,8.5586e-07,5.8066e-07,9.8093e-07
15,1.43471e-06,6.3693e-07,1.23462e-06,4.39782e-06,9.3617e-07,5.9479e-07,1.02644e-06
16,1.62569e-06,6.449e-07,1.41985e-06,4.60023e-06,8.1428e-07,4.77e-07,8.3394e-07
17,1.88995e-06,9.3353e-07,1.52202e-06,5.41116e-06,1.01773e-06,6.7357e-07,1.33291e-06
18,2.10527e-06,7.6362e-07,1.68627e-06,5.39031e-06,1.15853e-06,7.641e-07,1.83322e-06
19,2.60596e-06,9.2501e-07,1.98666e-06,6.71744e-06,1.26515e-06,9.6788e-07,2.89876e-06
20,3.87088e-06,1.22284e-06,2.41956e-06,6.04835e-06,1.21959e-06,8.7445e-07,1.5677e-06
21,2.60938e-06,1.0268e-06,2.2969e-06,7.48307e-06,1.328e-06,1.08193e-06,1.75521e-06
22,2.86509e-06,1.08109e-06,2.21454e-06,6.04141e-06,1.32879e-06,9.2699e-07,1.76989e-06
23,3.01405e-06,1.12799e-06,2.52667e-06,7.55663e-06,1.89436e-06,9.342e-07,1.73591e-06
