Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
2,1.299e-08,1.03e-08,1.153e-08,5.705e-08,1.778e-08,1.389e-08,1.344e-08
3,3.479e-08,2.338e-08,2.69e-08,1.1859e-07,3.21e-08,2.664e-08,2.526e-08
4,6.626e-08,5.023e-08,5.223e-08,1.7512e-07,5.673e-08,4.295e-08,4.386e-08
5,1.1243e-07,7.287e-08,7.955e-08,2.4943e-07,9.645e-08,6.187e-08,6.811e-08
6,1.6422e-07,8.945e-08,1.047e-07,3.2199e-07,1.1889e-07,8.222e-08,8.355e-08
7,1.9565e-07,9.896e-08,1.245e-07,3.8514e-07,1.4867e-07,9.799e-08,9.868e-08
8,2.5385e-07,1.16e-07,1.6503e-07,4.6535e-07,1.9471e-07,1.2287e-07,1.1467e-07
9,3.3495e-07,1.3126e-07,2.0807e-07,5.6481e-07,2.3206e-07,1.3523e-07,1.2974e-07
10,4.2163e-07,1.4916e-07,2.4662e-07,7.7561e-07,2.6109e-07,1.5925e-07,1.4745e-07
11,6.5115e-07,2.1807e-07,8.1584e-07,9.3653e-07,3.828e-07,2.2433e-07,2.1597e-07
12,7.8562e-07,2.3896e-07,4.2948e-07,1.06526e-06,4.3517e-07,2.5257e-07,2.3889e-07
13,9.014e-07,2.7175e-07,5.0157e-07,1.13474e-06,4.588e-07,2.8038e-07,2.7634e-07
14,1.07706e-06,3.1167e-07,6.1429e-07,1.49011e-06,5.0924e-07,3.0529e-07,2.8738e-07
15,1.24013e-06,3.4382e-07,6.5593e-07,1.35561e-06,5.5177e-07,3.3883e-07,3.073e-07
16,1.42347e-06,4.6213e-07,7.474e-07,1.43378e-06,5.8293e-07,3.6163e-07,3.2664e-07
17,1.59621e-06,4.8121e-07,7.9793e-07,1.78835e-06,6.2602e-07,3.9595e-07,5.5005e-07
18,1.77298e-06,4.4718e-07,8.8542e-07,2.73681e-06,7.5554e-07,4.6121e-07,7.6462e-07
19,3.49503e-06,4.7782e-07,1.41185e-06,1.76954e-06,8.2373e-07,4.7536e-07,6.2536e-07
20,2.15677e-06,5.46e-07,1.08372e-06,1.81456e-06,8.04e-07,5.9457e-07,1.31417e-06
21,2.34847e-06,5.0452e-07,1.09121e-06,1.84127e-06,8.8323e-07,5.6737e-07,6.7221e-07
22,2.66947e-06,5.5879e-07,1.16071e-06,2.04549e-06,9.8682e-07,6.54e-07,7.6851e-07
23,2.22828e-06,1.40373e-06,1.34803e-06,1.61424e-06,7.3386e-07,4.9105e-07,5.6094e-07
24,2.47067e-06,7.9636e-07,1.48923e-06,2.39616e-06,9.2466e-07,4.7865e-07,5.2012e-07
25,2.30217e-06,4.8568e-07,9.6711e-07,1.6016e-06,7.4683e-07,4.9498e-07,6.2225e-07
26,2.66681e-06,4.5971e-07,1.04082e-06,1.6215e-06,7.5179e-07,5.4273e-07,6.077e-07
27,2.62917e-06,5.3512e-07,1.19954e-06,1.85987e-06,7.4306e-07,5.3975e-07,6.1025e-07
28,2.9432e-06,5.505e-07,1.39058e-06,2.78243e-06,1.225e-06,9.106e-07,1.03739e-06
29,4.2883e-06,7.6894e-07,1.6761e-06,2.52634e-06,2.31265e-06,9.3559e-07,1.0975e-06
30,4.66367e-06,8.6373e-07,1.99797e-06,2.9773e-06,1.36892e-06,9.7271e-07,1.14179e-06
31,3.5637e-06,6.7593e-07,1.60857e-06,2.17567e-06,9.3406e-07,8.4519e-07,7.7604e-07
32,3.51214e-06,6.8455e-07,1.51955e-06,2.52437e-06,1.09565e-06,7.2082e-07,8.3326e-07
33,3.74387e-06,8.9159e-07,1.66461e-06,3.12867e-06,9.9853e-07,7.5749e-07,8.5683e-07
34,4.18618e-06,7.8735e-07,1.71358e-06,5.19576e-06,1.58692e-06,9.7156e-07,1.05719e-06
35,6.80489e-06,7.984e-07,1.68352e-06,2.38892e-06,1.08442e-06,8.201e-07,9.6153e-07
36,4.95299e-06,7.9616e-07,1.9287e-06,2.42286e-06,1.22709e-06,8.692e-07,9.6507e-07
37,4.66862e-06,7.7381e-07,2.14478e-06,2.67074e-06,1.17845e-06,8.9385e-07,1.00306e-06
38,5.55312e-06,8.192e-07,2.01558e-06,2.9196e-06,1.1897e-06,9.0264e-07,1.02643e-06
39,5.44188e-06,9.5141e-07,2.07897e-06,2.72743e-06,1.28928e-06,1.03568e-06,1.21065e-06
40,5.54027e-06,8.5293e-07,2.0536e-06,3.23489e-06,1.29723e-06,9.7704e-07,1.09601e-06
41,5.86736e-06,1.21288e-06,2.37442e-06,2.92011e-06,1.323e-06,9.9863e-07,1.11814e-06
42,5.98069e-06,9.0761e-07,2.27911e-06,3.06302e-06,1.36629e-06,1.04001e-06,1.27239e-06
43,6.27369e-06,1.06312e-06,2.44927e-06,3.15171e-06,1.55113e-06,1.07791e-06,1.25631e-06
44,1.06582e-05,2.01709e-06,4.26284e-06,4.17063e-06,1.896e-06,1.5911e-06,2.02542e-06
45,1.00538e-05,1.13555e-06,3.0156e-06,4.53228e-06,1.96197e-06,1.35236e-06,1.30687e-06
46,7.38323e-06,1.02197e-06,2.52933e-06,3.37171e-06,1.48597e-06,1.19528e-06,1.33037e-06
47,7.66063e-06,1.46176e-06,2.89204e-06,3.33458e-06,1.53721e-06,1.21274e-06,1.3598e-06
48,8.04764e-06,1.09348e-06,2.70198e-06,3.47528e-06,1.58388e-06,1.23625e-06,1.40628e-06
49,8.01856e-06,1.16479e-06,2.88666e-06,3.52397e-06,1.70815e-06,1.26707e-06,1.45737e-06
50,8.1085e-06,1.28676e-06,2.99355e-06,3.70742e-06,1.79163e-06,1.28667e-06,1.46675e-06
