Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
2,2.502e-08,2.025e-08,2.45e-08,4.8073e-07,3.42e-08,2.465e-08,8.781e-08
3,5.73e-08,4.794e-08,6.266e-08,4.9715e-07,7.659e-08,4.852e-08,1.4869e-07
4,1.0523e-07,9.129e-08,1.0845e-07,8.5003e-07,1.4334e-07,9.33e-08,2.878e-07
5,1.5168e-07,1.3017e-07,1.7737e-07,1.18633e-06,1.9488e-07,1.2188e-07,2.7071e-07
6,2.2806e-07,1.9891e-07,2.4725e-07,1.67709e-06,3.1619e-07,1.8446e-07,3.5211e-07
7,2.9565e-07,2.1623e-07,3.2676e-07,1.85535e-06,3.2621e-07,2.3156e-07,4.2377e-07
8,6.4553e-07,3.0574e-07,4.1689e-07,2.33963e-06,4.7816e-07,2.7115e-07,4.8616e-07
9,5.4444e-07,2.8735e-07,5.2885e-07,2.69244e-06,6.3633e-07,2.9857e-07,5.5728e-07
10,7.4607e-07,3.0957e-07,7.7869e-07,3.00058e-06,5.6122e-07,3.2847e-07,6.1992e-07
11,9.7626e-07,3.8734e-07,8.1544e-07,3.34065e-06,6.9198e-07,4.9964e-07,8.0404e-07
12,1.08357e-06,5.6751e-07,9.0501e-07,3.74262e-06,7.7836e-07,4.5396e-07,8.8431e-07
13,1.04725e-06,4.4126e-07,1.04716e-06,5.05013e-06,1.05552e-06,6.417e-07,1.18267e-06
14,2.16517e-06,6.9184e-07,1.41555e-06,5.44956e-06,8.8682e-07,5.9274e-07,1.32573e-06
15,1.76799e-06,5.3557e-07,1.30788e-06,4.46654e-06,9.5759e-07,6.0194e-07,1.09999e-06
16,1.63995e-06,6.7667e-07,1.3021e-06,4.59474e-06,1.00798e-06,6.8607e-07,1.64754e-06
17,1.86197e-06,6.9765e-07,1.62431e-06,5.07751e-06,1.09358e-06,7.4429e-07,1.31322e-06
18,1.83906e-06,8.3796e-07,1.67743e-06,5.31165e-06,1.17535e-06,6.5548e-07,1.27709e-06
19,2.07264e-06,7.6369e-07,1.71524e-06,5.73623e-06,1.26877e-06,8.65e-07,1.59191e-06
20,2.41108e-06,8.3029e-07,1.97577e-06,7.14796e-06,1.42267e-06,9.7739e-07,1.73621e-06
21,2.59535e-06,9.5898e-07,2.19412e-06,6.69393e-06,1.57639e-06,9.3249e-07,1.76839e-06
22,2.85867e-06,9.6148e-07,2.35225e-06,7.31756e-06,1.50659e-06,1.29481e-06,2.09232e-06
23,4.23996e-06,1.56624e-06,3.77983e-06,9.33124e-06,1.37907e-06,8.8148e-07,1.83632e-06
24,3.4974e-06,1.12583e-06,2.55773e-06,7.01484e-06,1.3865e-06,8.9633e-07,1.85965e-06
25,3.77429e-06,1.3633e-06,2.60719e-06,8.25681e-06,1.34719e-06,1.05151e-06,2.08908e-06
26,3.99293e-06,1.50602e-06,3.13793e-06,7.786e-06,1.48162e-06,1.13143e-06,2.29931e-06
27,4.4236e-06,2.12184e-06,3.47937e-06,7.64218e-06,1.55094e-06,1.07983e-06,2.41996e-06
28,4.55565e-06,1.43161e-06,3.27527e-06,8.44531e-06,1.80175e-06,1.31462e-06,2.35201e-06
29,4.93689e-06,1.58828e-06,3.91552e-06,1.43547e-05,1.93707e-06,1.48901e-06,3.8928e-06
30,7.15025e-06,2.19412e-06,4.98284e-06,9.69657e-06,2.06277e-06,1.36377e-06,2.46607e-06
31,5.61321e-06,1.83501e-06,4.08734e-06,7.64093e-06,1.71258e-06,1.26475e-06,2.6053e-06
32,5.5059e-06,1.57776e-06,4.19344e-06,1.00412e-05,2.49912e-06,1.7479e-06,3.00046e-06
33,5.97295e-06,1.86305e-06,4.65846e-06,8.32718e-06,1.90276e-06,1.46216e-06,2.78388e-06
34,6.32723e-06,1.72221e-06,4.48501e-06,8.62887e-06,2.29181e-06,1.90822e-06,3.53769e-06
35,7.81984e-06,2.43952e-06,4.86168e-06,1.30554e-05,2.25006e-06,1.67864e-06,2.9195e-06
36,6.94777e-06,2.249e-06,4.82201e-06,1.02145e-05,2.21243e-06,1.65734e-06,3.1149e-06
37,7.80648e-06,2.40869e-06,5.45473e-06,1.05609e-05,2.14086e-06,1.794e-06,3.19179e-06
38,7.77808e-06,2.29859e-06,5.10088e-06,9.58697e-06,2.39707e-06,1.64596e-06,3.19337e-06
39,8.09801e-06,2.65725e-06,5.0437e-06,1.34344e-05,3.24968e-06,2.58866e-06,4.33369e-06
40,1.14832e-05,2.54091e-06,5.26043e-06,9.88031e-06,2.44094e-06,1.9679e-06,3.26489e-06
41,8.9416e-06,2.74745e-06,5.583e-06,1.11791e-05,2.83545e-06,2.17662e-06,3.80168e-06
42,9.2536e-06,2.73067e-06,5.30435e-06,1.14591e-05,2.66452e-06,1.92878e-06,3.73811e-06
43,8.78097e-06,3.14182e-06,6.11844e-06,1.37345e-05,4.13637e-06,3.69921e-06,5.15366e-06
44,1.08362e-05,2.69412e-06,6.77883e-06,1.18577e-05,3.62287e-06,2.22294e-06,3.64861e-06
45,1.04915e-05,2.96249e-06,5.76519e-06,1.29862e-05,3.33492e-06,2.61394e-06,4.11695e-06
46,1.04502e-05,2.78609e-06,6.00934e-06,1.18749e-05,2.87468e-06,2.41458e-06,4.49929e-06
47,1.38298e-05,3.86386e-06,8.7024e-06,1.91545e-05,3.33318e-06,2.64223e-06,4.98817e-06
48,1.08415e-05,2.88496e-06,6.55897e-06,1.38353e-05,3.42877e-06,2.34061e-06,4.35846e-06
49,1.13436e-05,3.4054e-06,6.67661e-06,1.31286e-05,3.26744e-06,2.43192e-06,4.4343e-06
50,1.19748e-05,3.21483e-06,7.98064e-06,1.77119e-05,4.19741e-06,3.48049e-06,6.25649e-06
51,1.21281e-05,3.52941e-06,7.57889e-06,1.43837e-05,3.53015e-06,2.66096e-06,4.80926e-06
52,1.23261e-05,3.63316e-06,7.91184e-06,1.46776e-05,3.98639e-06,2.99383e-06,5.20419e-06
53,1.31153e-05,3.53339e-06,8.56783e-06,1.92211e-05,5.47064e-06,3.90269e-06,6.61861e-06
54,1.47328e-05,3.87166e-06,8.19362e-06,1.50115e-05,3.74326e-06,2.89477e-06,5.6471e-06
